Date,Open,High,Low,Close,Adj Close,Volume
2023-01-30,1.140450,1.141150,1.135800,1.140450,1.140450,0
2023-01-31,1.138120,1.139670,1.132580,1.138120,1.138120,0
2023-02-01,1.133230,1.134040,1.126700,1.133230,1.133230,0
2023-02-02,1.124570,1.126360,1.116770,1.124570,1.124570,0
2023-02-03,1.120300,1.121970,1.113600,1.120300,1.120300,0
2023-02-06,1.116040,1.121560,1.115400,1.116040,1.116040,0
2023-02-07,1.120820,1.123310,1.118400,1.120820,1.120820,0
2023-02-08,1.123000,1.126650,1.121800,1.123000,1.123000,0
2023-02-09,1.126370,1.131200,1.125300,1.126370,1.126370,0
2023-02-10,1.128000,1.133180,1.126700,1.128000,1.128000,0
2023-02-13,1.128580,1.133060,1.126700,1.128580,1.128580,0
2023-02-14,1.132370,1.135590,1.130110,1.132370,1.132370,0
2023-02-15,1.133880,1.134170,1.123330,1.133880,1.133880,0
2023-02-16,1.125750,1.127200,1.122420,1.125750,1.125750,0
2023-02-17,1.122580,1.126700,1.119600,1.122580,1.122580,0
2023-02-20,1.125780,1.127170,1.124500,1.125780,1.125780,0
2023-02-21,1.126820,1.137270,1.125280,1.126820,1.126820,0
2023-02-22,1.136700,1.138310,1.133670,1.136700,1.136700,0
2023-02-23,1.135750,1.137020,1.134080,1.135750,1.135750,0
2023-02-24,1.133850,1.136410,1.131680,1.133850,1.133850,0
2023-02-27,1.132210,1.136370,1.131810,1.132210,1.132210,0
2023-02-28,1.136770,1.142050,1.134940,1.136770,1.136770,0
2023-03-01,1.137540,1.137760,1.124010,1.137540,1.137540,0
2023-03-02,1.127200,1.128700,1.124680,1.127200,1.127200,0
2023-03-03,1.127370,1.130860,1.127100,1.127370,1.127370,0
2023-03-06,1.131830,1.132150,1.125170,1.131830,1.131830,0
2023-03-07,1.125250,1.128850,1.120770,1.125250,1.125250,0
2023-03-08,1.121090,1.123990,1.120600,1.121090,1.121090,0
2023-03-09,1.123180,1.127330,1.121700,1.123180,1.123180,0
2023-03-10,1.126210,1.133210,1.124600,1.126210,1.126210,0
2023-03-13,1.130340,1.134740,1.128190,1.130340,1.130340,0
2023-03-14,1.134700,1.138870,1.131790,1.134700,1.134700,0
2023-03-15,1.132590,1.146760,1.130780,1.132590,1.132590,0
2023-03-16,1.140220,1.142300,1.133990,1.140220,1.140220,0
2023-03-17,1.140840,1.143370,1.138600,1.140840,1.140840,0
2023-03-20,1.141090,1.145480,1.140300,1.141090,1.141090,0
2023-03-21,1.144970,1.145280,1.131260,1.144970,1.144970,0
2023-03-22,1.134520,1.139840,1.133140,1.134520,1.134520,0
2023-03-23,1.129200,1.133490,1.127950,1.129200,1.129200,0
2023-03-24,1.133380,1.139130,1.132600,1.133380,1.133380,0
2023-03-27,1.136070,1.139330,1.135680,1.136030,1.136030,0
2023-03-28,1.137790,1.139980,1.135380,1.137790,1.137790,0
2023-03-29,1.137300,1.138680,1.134880,1.137300,1.137300,0
2023-03-30,1.135270,1.138920,1.132720,1.135270,1.135270,0
2023-03-31,1.135600,1.139220,1.135300,1.135600,1.135600,0
2023-04-03,1.136900,1.139960,1.135600,1.136900,1.136900,0
2023-04-04,1.138700,1.145460,1.138100,1.138700,1.138700,0
2023-04-05,1.140570,1.142530,1.138000,1.140570,1.140570,0
2023-04-06,1.142920,1.144060,1.138000,1.142850,1.142850,0
2023-04-07,1.138940,1.140660,1.137280,1.138940,1.138940,0
2023-04-10,1.138980,1.140890,1.137200,1.138980,1.138980,0
2023-04-11,1.139990,1.141020,1.137600,1.139990,1.139990,0
2023-04-12,1.138520,1.138540,1.133920,1.138520,1.138520,0
2023-04-13,1.135850,1.137350,1.131300,1.135850,1.135850,0
2023-04-14,1.133190,1.133200,1.129610,1.133190,1.133190,0
2023-04-17,1.128790,1.133360,1.127800,1.128790,1.128790,0
2023-04-18,1.132400,1.134900,1.131800,1.132400,1.132400,0
2023-04-19,1.132000,1.137250,1.131200,1.132000,1.132000,0
2023-04-20,1.134810,1.135620,1.132800,1.134810,1.134810,0
2023-04-21,1.134210,1.134570,1.128440,1.134210,1.134210,0
2023-04-24,1.132330,1.132970,1.128700,1.132330,1.132330,0
2023-04-25,1.130100,1.130980,1.126670,1.130100,1.130100,0
2023-04-26,1.130750,1.131530,1.126870,1.130750,1.130750,0
2023-04-27,1.129000,1.132990,1.127060,1.129000,1.129000,0
2023-04-28,1.132760,1.139600,1.131340,1.132760,1.132760,0
2023-05-01,1.140370,1.141450,1.136700,1.140370,1.140370,0
2023-05-02,1.138120,1.138290,1.133670,1.138120,1.138120,0
2023-05-03,1.133040,1.135510,1.131800,1.133040,1.133040,0
2023-05-04,1.135450,1.143240,1.134600,1.135450,1.135450,0
2023-05-05,1.141480,1.147650,1.140570,1.141480,1.141480,0
2023-05-08,1.146190,1.146870,1.143390,1.146190,1.146190,0
